total_bill,tip,sex,smoker,day,time,size,price_per_person,Payer Name,CC Number,Payment ID
23.17,6.5,Male,Yes,Sun,Dinner,4,5.79,Dr. Michael James,4718501859162,Sun6059
16.66,3.4,Male,No,Thur,Lunch,2,8.33,William Martin,4550549048402707,Thur8232
16.47,3.23,Female,Yes,Thur,Lunch,3,5.49,Carly Reyes,4787787236486,Thur8084
12.02,1.97,Male,No,Sat,Dinner,2,6.01,Max Brown,213139760497718,Sat2100
26.86,3.14,Female,Yes,Sat,Dinner,2,13.43,Victoria Obrien MD,4216245673726,Sat1967
27.28,4.0,Male,Yes,Fri,Dinner,2,13.64,Eric Carter,4563054452787961,Fri3159
22.75,3.25,Female,No,Fri,Dinner,2,11.38,Jamie Garza,676318332068,Fri2318
20.9,3.5,Female,Yes,Sun,Dinner,3,6.97,Heidi Atkinson,4422858423131187,Sun4254
7.56,1.44,Male,No,Thur,Lunch,2,3.78,Michael White,4865390263095532,Thur697
24.01,2.0,Male,Yes,Sat,Dinner,4,6.0,Michael Osborne,4258682154026,Sat7872
14.26,2.5,Male,No,Thur,Lunch,2,7.13,Perry Garcia,180034646320219,Thur3579
11.38,2.0,Female,No,Thur,Lunch,2,5.69,Christine Perkins,3548391118913991,Thur8551
40.17,4.73,Male,Yes,Fri,Dinner,4,10.04,Aaron Bentley,180026611638690,Fri9628
23.1,4.0,Male,Yes,Sun,Dinner,3,7.7,Richard Stevens,3560193117506187,Sun1821
18.71,4.0,Male,Yes,Thur,Lunch,3,6.24,Jason Conrad,4581233003487,Thur6048
16.31,2.0,Male,No,Sat,Dinner,3,5.44,William Ford,3527691170179398,Sat9139
13.42,1.68,Female,No,Thur,Lunch,2,6.71,Laura Garcia,5181484390945653,Thur2158
24.06,3.6,Male,No,Sat,Dinner,3,8.02,Joseph Mullins,5519770449260299,Sat632
15.48,2.02,Male,Yes,Thur,Lunch,2,7.74,Raymond Sullivan,180068856139315,Thur606
38.73,3.0,Male,Yes,Sat,Dinner,4,9.68,Ricky Ramirez,347817964484033,Sat4505
21.01,3.0,Male,Yes,Fri,Dinner,2,10.5,Michael Li,4831801127457917,Fri144
27.2,4.0,Male,No,Thur,Lunch,4,6.8,John Davis,30344778738589,Thur4924
21.5,3.5,Male,No,Sun,Dinner,4,5.38,Travis Gonzalez,3527668419764685,Sun245
16.49,2.0,Male,No,Sun,Dinner,4,4.12,Christopher Soto,30501814271434,Sun1781
11.69,2.31,Male,No,Thur,Lunch,2,5.84,Kenneth Goodman,4891259691010,Thur8289
20.76,2.24,Male,No,Sun,Dinner,2,10.38,Gordon Lane,4110599849536479,Sun6738
45.35,3.5,Male,Yes,Sun,Dinner,3,15.12,Jose Parsons,4112207559459910,Sun2337
22.82,2.18,Male,No,Thur,Lunch,3,7.61,Raymond Torres,4855776744024,Thur9424
13.37,2.0,Male,No,Sat,Dinner,2,6.68,Kyle Avery,6531339539615499,Sat6651
16.82,4.0,Male,Yes,Sun,Dinner,2,8.41,Brian Miles,3586342145399277,Sun7621
13.81,2.0,Male,No,Sun,Dinner,2,6.9,Charles Newton,5552793481414044,Sun8594
26.59,3.41,Male,Yes,Sat,Dinner,3,8.86,Daniel Owens,38971087967574,Sat1
20.53,4.0,Male,Yes,Thur,Lunch,4,5.13,Scott Kim,3570611756827620,Thur2160
17.07,3.0,Female,No,Sat,Dinner,3,5.69,Teresa Fisher,5442222963796367,Sat3469
16.97,3.5,Female,No,Sun,Dinner,3,5.66,Laura Martinez,30422275171379,Sun2789
16.4,2.5,Female,Yes,Thur,Lunch,2,8.2,Toni Brooks,3582289985920239,Thur7770
19.44,3.0,Male,Yes,Thur,Lunch,2,9.72,Louis Torres,38848369968464,Thur6453
26.41,1.5,Female,No,Sat,Dinner,2,13.2,Melody Simon,4745394421258160,Sat8980
17.26,2.74,Male,No,Sun,Dinner,3,5.75,Gregory Smith,4292362333741,Sun5205
13.16,2.75,Female,No,Thur,Lunch,2,6.58,Lindsey Meyer,676239597203,Thur6245
21.16,3.0,Male,No,Thur,Lunch,2,10.58,Keith Lewis,4356005144080422,Thur6273
15.01,2.09,Male,Yes,Sat,Dinner,2,7.5,Adam Hall,4700924377057571,Sat855
